TableSize
28
CRNum	1100	1101	1127	1128	1105	1102	1103	1126	1125	1107	1152	1109	1112	1106	1108	1123	1136	1137	1151	1131	1146	1147	1148	1149	1150	1117	1144	;
Secs	RPM	MAP	ETemp	IAT	VOLTS	TPS	OXY	WB_Oxy	INJ_PW	INJ_DC	Boost_	WG_DC	ISC_DC	Zone	Ign_Adv	SCE	MAPLim	RPMLim	Accel_	RadFan	Aux1	Aux1	Orun_Vac	Iat_Rtd	Stagin	IDLEST	TPSCls	Markers	;
0.00	1800	50	82	14	13.1	22	1.14	12.8	2.3	3	0.0	0	40	215	26.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
0.08	1800	50	82	14	13.0	22	1.15	12.8	2.3	3	0.0	0	40	215	26.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
0.19	1800	49	82	14	12.7	22	1.14	12.7	2.2	3	0.0	0	40	215	26.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
0.28	1800	48	82	14	12.8	22	1.14	12.6	2.2	3	0.0	0	40	215	26.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
0.39	1800	48	82	14	12.9	22	1.14	12.6	2.2	3	0.0	0	40	215	26.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
0.47	1800	48	82	14	13.0	22	1.14	12.6	2.2	3	0.0	0	40	215	26.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
0.55	1800	49	82	14	13.0	22	1.14	12.8	2.2	3	0.0	0	40	215	26.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
0.66	1800	50	82	14	13.1	22	1.14	13.2	2.3	3	0.0	0	40	215	26.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
0.73	1800	51	82	14	13.1	22	1.14	13.0	2.3	3	0.0	0	40	215	25.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
0.83	1800	53	82	14	13.1	22	1.14	13.1	2.4	3	0.0	0	40	215	25.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
0.92	1800	54	82	14	13.0	25	1.15	13.0	2.5	3	0.0	0	40	215	25.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
1.01	1800	64	82	14	12.7	26	1.13	12.8	3.1	4	0.0	0	40	315	21.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
1.08	1800	67	82	14	12.7	26	1.14	12.8	3.3	5	0.0	0	40	315	21.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
1.19	1800	69	82	14	12.9	26	1.14	13.3	3.5	5	0.0	0	40	315	21.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
1.26	1800	71	82	14	13.0	26	1.14	13.5	3.6	5	0.0	0	40	315	20.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
1.34	1800	73	82	14	13.0	26	1.14	13.1	3.8	5	0.0	0	40	315	20.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
1.45	1800	77	82	14	13.1	28	1.14	12.8	4.0	5	0.0	0	40	315	19.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
1.53	1800	81	82	14	13.1	28	1.14	12.1	4.1	6	0.0	0	40	315	19.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
1.61	1800	80	82	14	12.7	28	1.14	12.1	4.1	6	0.0	0	40	315	19.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
1.70	1800	79	82	14	12.8	29	1.14	12.0	4.0	6	0.0	0	40	315	19.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
1.80	1900	81	82	14	13.0	29	1.14	11.8	4.2	6	0.0	0	40	315	19.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
1.91	1900	88	82	14	13.1	30	1.14	11.9	4.6	7	0.0	0	40	315	17.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
1.98	1900	89	82	14	13.1	32	1.15	12.0	4.6	7	0.0	0	40	315	17.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
2.06	1900	93	82	14	12.8	34	1.14	12.1	4.8	7	0.0	0	40	415	15.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
2.16	1900	96	82	14	13.0	35	1.14	11.5	5.1	7	0.0	0	40	415	14.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
2.23	1900	99	82	14	13.1	35	1.14	11.6	5.2	8	0.0	0	40	415	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
2.31	1900	99	82	14	12.7	37	1.15	11.6	5.2	8	0.0	0	40	415	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
2.41	1900	99	82	14	12.9	38	1.14	11.6	5.3	8	0.0	0	40	415	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
2.48	1900	105	82	14	13.1	38	1.15	11.5	5.5	8	0.0	0	40	415	12.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Open	I	;
2.58	1900	99	82	14	12.8	29	1.14	11.4	5.2	8	0.0	0	40	415	13.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
2.67	2000	63	82	14	13.0	20	1.14	11.1	3.1	5	0.0	0	40	320	25.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
2.77	1900	40	82	14	12.8	20	1.14	10.7	1.8	3	0.0	0	40	215	27.0	2	Off	Off	Off	Off	Off	Off	Off	Off	Off	=	Closed	I	;
